iter	Passed	Remaining
0	1	1483
1	2	1139
2	3	1030
3	3	993
4	5	995
5	5	948
6	6	902
7	7	871
8	7	842
9	8	821
10	8	805
11	9	794
12	10	795
13	11	794
14	12	793
15	12	790
16	13	790
17	14	790
18	15	795
19	16	797
20	17	807
21	18	809
22	20	856
23	20	849
24	21	850
25	22	843
26	23	835
27	23	832
28	24	826
29	25	816
30	25	808
31	26	808
32	27	807
33	28	808
34	29	806
35	30	807
36	31	807
37	33	858
38	35	865
39	36	866
40	37	868
41	37	865
42	38	864
43	39	862
44	40	860
45	41	858
46	44	892
47	44	887
48	45	887
49	46	889
50	48	897
51	49	894
52	49	892
53	50	887
54	51	883
55	52	878
56	52	873
57	53	868
58	54	864
59	54	861
60	55	857
61	56	855
62	57	852
63	58	849
64	58	847
65	59	845
66	60	842
67	61	846
68	63	853
69	64	858
70	65	862
71	68	879
72	70	891
73	70	888
74	71	884
75	72	883
76	73	879
77	74	875
78	74	870
79	75	866
80	76	866
81	77	867
82	77	861
83	78	860
84	79	856
85	80	853
86	80	849
87	81	846
88	82	842
89	82	838
90	83	836
91	84	833
92	85	829
93	85	827
94	86	824
95	87	821
96	87	817
97	88	814
98	89	811
99	89	808
100	90	805
101	91	804
102	92	805
103	93	806
104	94	803
105	94	799
106	95	796
107	96	794
108	96	792
109	97	790
110	98	787
111	99	785
112	99	782
113	100	779
114	100	776
115	101	774
116	102	770
117	102	767
118	103	765
119	104	762
120	104	760
121	105	759
122	106	759
123	107	758
124	108	758
125	109	757
126	109	754
127	110	752
128	111	750
129	111	748
130	112	745
131	113	743
132	113	742
133	114	740
134	115	737
135	115	735
136	116	733
137	117	731
138	117	730
139	118	728
140	119	726
141	119	724
142	120	724
143	121	724
144	122	723
145	123	722
146	124	720
147	124	718
148	125	717
149	126	716
150	127	715
151	127	713
152	128	711
153	129	710
154	129	708
155	130	707
156	131	705
157	132	703
158	132	702
159	133	700
160	134	698
161	135	701
162	136	701
163	137	703
164	138	701
165	139	700
166	140	698
